,CatBoost,ElasticNet,ExtraTrees,GaussianProcess,HistGradientBoosting,KNN,Lasso,LightGBM,LinearRegression,RandomForest,Ridge,SVR_RBF,XGBoost
CatBoost,1.0,0.0,0.9531319349978364,0.36330029448102075,0.0009116121077643591,7.594373796493414e-09,0.0,0.001989666720278449,0.0,0.6602069619756117,0.0,0.0,0.03317935752973289
ElasticNet,0.0,1.0,0.0,4.440892098500626e-16,7.899877418893198e-10,0.00019424484941943376,0.9999983744415666,2.2317414583028494e-10,0.9876119758513617,0.0,0.9685504130738677,0.5277726341425446,8.455458555545192e-13
ExtraTrees,0.9531319349978364,0.0,1.0,0.003769346960562303,3.1795059896033706e-07,1.0891287871572786e-13,0.0,9.249226069485417e-07,0.0,0.017958099885380885,0.0,0.0,5.445666258518944e-05
GaussianProcess,0.36330029448102075,4.440892098500626e-16,0.003769346960562303,1.0,0.8248197448681108,0.005132973133410879,3.808064974464287e-14,0.9071196164922087,1.3358647521499734e-11,0.9999999285433048,4.193001501562321e-11,0.0,0.9994406030442635
HistGradientBoosting,0.0009116121077643591,7.899877418893198e-10,3.1795059896033706e-07,0.8248197448681108,1.0,0.6602069619756117,2.894812001219549e-08,0.999999999995891,2.6048702717051953e-06,0.5468667897778334,6.165213925379831e-06,0.0,0.9994406030442635
KNN,7.594373796493414e-09,0.00019424484941943376,1.0891287871572786e-13,0.005132973133410879,0.6602069619756117,1.0,0.002217561689597747,0.5277726341425449,0.03608975323201746,0.0009116121077643591,0.05860777605713552,2.2317414583028494e-10,0.1135807127413212
Lasso,0.0,0.9999983744415666,0.0,3.808064974464287e-14,2.894812001219549e-08,0.002217561689597747,1.0,8.997505629437796e-09,0.9999418535601377,1.1102230246251565e-15,0.9995801070252152,0.19067823156573016,5.0621173919296325e-11
LightGBM,0.001989666720278449,2.2317414583028494e-10,9.249226069485417e-07,0.9071196164922087,0.999999999995891,0.5277726341425449,8.997505629437796e-09,1.0,9.249226069485417e-07,0.678472066832849,2.2511842140415794e-06,0.0,0.9999418535601377
LinearRegression,0.0,0.9876119758513617,0.0,1.3358647521499734e-11,2.6048702717051953e-06,0.03608975323201746,0.9999418535601377,9.249226069485417e-07,1.0,5.642153411145046e-13,0.9999999999993474,0.02149664308821364,8.997505629437796e-09
RandomForest,0.6602069619756117,0.0,0.017958099885380885,0.9999999285433048,0.5468667897778334,0.0009116121077643591,1.1102230246251565e-15,0.678472066832849,5.642153411145046e-13,1.0,1.8847146066036657e-12,0.0,0.982735019124803
Ridge,0.0,0.9685504130738677,0.0,4.193001501562321e-11,6.165213925379831e-06,0.05860777605713552,0.9995801070252152,2.2511842140415794e-06,0.9999999999993474,1.8847146066036657e-12,1.0,0.012402352234350045,2.4545334653680584e-08
SVR_RBF,0.0,0.5277726341425446,0.0,0.0,0.0,2.2317414583028494e-10,0.19067823156573016,0.0,0.02149664308821364,0.0,0.012402352234350045,1.0,0.0
XGBoost,0.03317935752973289,8.455458555545192e-13,5.445666258518944e-05,0.9994406030442635,0.9994406030442635,0.1135807127413212,5.0621173919296325e-11,0.9999418535601377,8.997505629437796e-09,0.982735019124803,2.4545334653680584e-08,0.0,1.0
